num.network.threads,num.io.threads,queued.max.requests,num.replica.fetchers,socket.receive.buffer.bytes,socket.send.buffer.bytes,socket.request.max.bytes,buffer.memory,batch.size,linger.ms,compression.type,T
9,7,74,17,18,16,7,45,3,21,none,5.34
18,16,88,19,18,18,6,38,15,13,lz4,11.6
9,21,25,20,7,4,8,26,4,75,lz4,5.91
12,17,87,8,18,17,18,25,13,100,snappy,10.42
19,24,86,18,19,11,9,25,10,26,none,10.27
14,20,24,5,15,16,2,44,51,15,gzip,7
7,19,37,12,10,14,28,46,61,46,lz4,15.53
3,17,42,15,15,2,9,38,13,29,none,10.67
16,6,51,3,8,12,8,19,2,52,none,2.36
15,19,75,13,6,16,19,24,4,88,none,6.04
2,6,63,12,17,15,26,27,16,67,lz4,10.95
8,23,84,10,9,14,14,20,10,89,gzip,7.51
6,13,58,17,13,6,20,23,39,96,gzip,7.02
18,16,39,5,11,11,10,18,42,40,lz4,15.13
19,7,69,17,5,7,16,6,11,86,gzip,7.47
16,8,14,8,1,5,27,32,16,93,snappy,9.09
15,17,73,1,20,6,12,22,34,75,lz4,11.77
9,24,93,2,7,20,20,2,25,0,snappy,11.99
5,16,100,12,5,11,6,8,40,5,lz4,14.08
18,5,48,19,1,14,18,20,63,46,lz4,11.35
3,6,36,7,7,15,24,27,21,15,snappy,12.26
3,14,39,19,17,13,18,11,57,91,none,15.59
14,8,72,10,8,9,26,11,9,48,gzip,7.69
6,3,70,16,10,4,30,24,8,28,none,9.39
17,21,69,4,10,10,20,12,4,39,none,5.74
9,4,29,10,12,13,4,38,22,7,lz4,12.93
18,16,53,13,10,8,4,44,45,24,lz4,14.97
17,14,77,16,1,5,4,6,35,100,lz4,10.72
12,19,89,19,8,7,13,27,43,17,none,14.55
18,4,1,9,13,20,16,18,42,4,none,14.95
9,20,18,7,1,14,25,39,45,10,lz4,11.39
16,24,50,20,14,17,19,2,9,93,gzip,7.56
7,19,99,11,1,12,23,10,60,78,lz4,11.57
18,19,66,5,5,10,20,31,63,76,snappy,14.16
13,12,84,1,1,19,18,18,31,24,lz4,9.62
15,4,93,20,10,9,13,40,22,87,lz4,12.98
18,11,85,12,4,12,5,2,13,37,none,10.82
16,23,87,19,12,7,2,36,32,53,none,14.08
16,13,94,2,17,16,1,29,21,16,snappy,11.52
5,23,16,13,4,1,17,33,5,16,lz4,6.97
5,15,80,19,15,11,19,27,28,41,gzip,7.12
13,20,6,18,18,2,18,32,45,24,none,14.5
7,5,77,18,11,19,30,30,43,63,gzip,7.04
14,19,6,11,11,10,30,32,25,61,gzip,7.11
5,24,40,6,19,3,22,44,18,53,lz4,10.88
13,21,47,7,5,18,23,44,64,53,snappy,13.68
9,2,7,18,17,20,18,39,51,34,none,14.94
18,15,13,14,16,12,29,5,58,67,lz4,15.03
20,17,68,20,19,14,15,47,41,2,snappy,13.64
18,4,41,5,20,9,1,41,2,18,lz4,3.34
13,20,86,4,17,19,30,20,48,59,gzip,7.04
9,8,84,10,9,8,12,17,2,6,snappy,3.46
18,5,48,2,8,14,30,45,6,0,gzip,7.84
18,17,2,6,2,5,18,38,35,70,none,11.8
11,7,8,2,10,17,25,47,14,6,gzip,7.33
15,16,53,4,14,15,24,47,42,80,snappy,13.97
18,9,58,20,13,6,15,36,26,25,none,13.37
9,3,81,5,16,3,21,1,1,5,none,1.66
13,10,86,5,8,13,20,13,2,0,none,3.5
20,11,1,14,5,20,21,32,1,71,gzip,2.76
15,3,55,7,19,9,26,2,55,6,lz4,15.46
20,21,37,20,1,5,15,40,54,79,gzip,6.94
11,8,25,5,6,4,5,12,26,55,snappy,12.47
6,2,5,19,20,9,15,32,38,40,snappy,13.88
1,8,61,5,17,16,29,42,8,36,snappy,8.22
6,17,89,8,3,1,25,30,22,41,snappy,10.93
12,13,37,1,17,14,7,33,63,67,gzip,6.99
15,24,40,17,2,17,4,6,44,98,none,12.73
1,7,24,4,19,5,19,5,39,83,none,14.18
1,11,99,15,2,3,24,8,49,59,lz4,11.65
12,18,97,15,3,2,21,24,37,68,snappy,12.01
20,23,51,13,6,4,30,22,37,96,gzip,7.07
15,21,10,4,12,3,21,40,52,53,gzip,6.94
4,5,95,18,3,9,13,34,17,77,lz4,11.2
3,19,61,9,16,1,19,30,44,64,snappy,13.55
4,8,80,17,7,3,18,17,9,59,snappy,9.3
8,11,31,16,17,11,25,32,57,75,lz4,15.44
15,14,78,11,3,8,5,41,25,55,none,12.33
9,16,47,9,6,12,5,40,43,38,snappy,13.97
17,22,38,15,11,6,4,27,10,86,gzip,7.59
12,7,57,1,2,11,1,4,22,36,lz4,9.84
19,16,92,6,12,2,29,38,14,79,lz4,10.26
4,23,69,3,3,5,29,14,43,65,lz4,12.1
20,9,29,10,4,16,5,34,31,39,lz4,12.96
6,6,51,18,14,9,21,19,30,74,none,14.16
17,8,45,3,6,1,30,28,9,48,none,7.54
6,14,97,7,11,8,2,9,20,17,gzip,7.25
18,20,72,2,20,16,8,44,11,8,snappy,8.84
10,4,89,7,9,3,24,2,40,0,lz4,13.91
20,12,81,20,12,3,23,36,32,99,lz4,13.29
6,5,70,18,13,10,13,40,47,10,gzip,6.94
12,21,94,19,15,1,10,21,56,90,none,14.1
8,12,5,8,7,3,11,2,38,74,snappy,13.25
2,13,11,11,14,1,18,24,44,17,lz4,13.92
16,5,39,11,9,14,18,5,2,96,none,3.81
6,17,32,10,14,16,29,41,49,99,lz4,15.27
9,23,43,6,16,12,1,16,7,98,snappy,7.14
14,17,73,7,1,18,2,2,57,53,snappy,10.52
14,6,100,6,15,2,25,21,50,52,none,14.36
20,6,40,5,2,6,30,4,22,39,none,10.82
13,10,21,6,20,9,4,20,46,76,none,15.32
16,8,91,5,5,9,7,43,43,88,lz4,14.11
19,10,88,14,19,12,8,22,30,43,none,14.19
11,12,91,18,11,6,18,42,47,15,snappy,14.82
7,6,1,12,18,4,16,1,25,34,gzip,7.14
14,9,24,12,3,18,2,34,23,40,snappy,11.6
11,10,86,4,20,3,16,35,13,8,gzip,7.36
5,17,7,12,10,3,27,13,45,59,gzip,6.96
18,5,87,1,2,19,16,25,38,84,snappy,11.23
16,5,79,4,8,15,16,32,63,32,lz4,15.13
7,2,70,14,13,17,27,35,29,33,none,13.94
10,9,13,12,8,14,21,1,47,56,lz4,9.04
4,11,94,13,4,19,29,8,40,41,snappy,13.04
4,3,90,4,1,3,1,39,19,42,lz4,9.29
3,5,94,17,13,7,23,10,6,94,gzip,8
7,20,45,2,12,19,22,33,61,70,gzip,7
14,16,16,10,16,20,9,27,23,59,gzip,7.15
1,17,8,20,5,17,12,1,50,33,snappy,8.33
17,11,90,5,5,20,19,23,47,13,lz4,14.08
20,22,100,18,5,18,12,40,35,40,lz4,13.5
3,22,29,12,12,18,22,37,55,35,snappy,15.19
18,13,17,11,8,7,30,18,26,57,snappy,13.31
9,11,20,20,13,13,19,12,58,77,lz4,15.68
7,7,72,18,14,16,6,10,53,16,gzip,6.89
13,6,47,2,2,18,16,5,13,45,none,9.38
18,3,73,4,8,3,24,35,29,31,none,12.89
10,1,56,19,12,5,27,48,3,46,gzip,6.98
1,16,94,8,17,1,26,29,1,41,snappy,1.79
15,16,84,16,13,11,8,15,63,57,none,15.41
16,16,84,19,17,18,20,21,18,92,snappy,11.86
20,17,16,5,2,12,4,12,35,0,snappy,12.13
16,5,18,18,16,14,14,40,8,73,none,9.09
18,20,41,17,5,3,6,16,28,49,lz4,12.92
18,15,83,7,16,17,27,31,49,84,gzip,7.01
8,21,59,4,13,13,28,41,40,63,gzip,7.05
15,6,91,12,11,13,8,3,22,18,lz4,12.68
16,19,42,5,11,16,22,18,58,25,none,15.67
16,4,69,14,20,14,14,26,57,92,gzip,6.99
4,23,87,17,10,3,19,25,36,68,lz4,14.11
7,23,50,4,15,17,19,37,2,19,lz4,3.2
18,9,78,10,4,5,18,2,42,94,lz4,13.59
17,18,96,7,16,10,12,4,59,86,snappy,14.91
10,18,20,8,12,8,30,35,38,99,none,14.95
3,7,25,18,7,1,14,47,16,50,lz4,11.38
16,9,61,7,19,5,17,46,58,76,none,15.49
5,23,5,4,15,11,17,45,8,64,gzip,7.77
20,11,69,3,1,20,17,43,56,90,none,11.22
6,22,35,6,13,18,11,21,11,98,lz4,9.23
5,13,8,13,1,2,2,38,29,29,lz4,9.94
12,24,1,3,15,10,6,22,5,48,none,5.12
11,14,10,4,7,6,17,21,10,0,snappy,8.64
11,13,83,5,14,12,27,4,37,46,gzip,7.1
12,18,85,8,9,20,8,1,29,97,snappy,13.03
15,7,84,10,16,18,9,16,30,100,gzip,7.13
14,5,73,12,10,18,2,44,4,3,gzip,7.68
6,11,26,4,7,7,30,29,17,92,lz4,11.38
17,22,55,14,19,3,21,33,46,40,lz4,14.69
19,3,67,3,7,13,18,4,15,47,lz4,9.77
6,16,6,18,8,5,25,19,18,56,lz4,12.1
5,9,88,11,11,6,22,14,9,2,lz4,9.48
10,24,64,10,8,12,3,20,51,37,gzip,7.05
15,1,31,15,7,2,10,26,2,73,snappy,3.44
10,1,29,15,11,12,17,26,44,11,snappy,14.43
6,17,59,19,8,4,1,22,13,63,gzip,7.41
17,3,99,13,2,13,28,48,43,52,gzip,7.05
11,19,59,15,8,2,28,47,61,15,none,14.42
11,19,86,14,7,6,4,33,46,81,gzip,7.06
3,7,11,5,1,12,4,47,64,48,gzip,7.01
6,8,61,1,20,16,7,19,36,27,none,13.21
14,5,100,7,7,16,26,7,33,89,gzip,7.02
18,8,60,19,13,19,18,23,36,15,lz4,14.71
15,8,4,2,2,13,7,26,26,10,snappy,10.98
12,6,95,6,8,1,6,4,49,72,gzip,7.03
11,13,93,18,16,18,3,10,43,67,gzip,7.05
3,13,21,13,6,16,30,26,20,45,snappy,12.39
11,7,10,7,8,18,10,26,35,65,snappy,13.93
8,2,91,4,11,12,15,8,38,42,snappy,14.29
14,3,77,3,20,14,18,22,25,53,snappy,11.67
19,18,4,12,12,19,14,4,28,74,lz4,13.48
5,6,6,4,4,18,16,9,57,14,snappy,13.87
6,16,3,13,20,10,1,16,16,24,none,12.29
