column_index_size_in_kb,commitlog_sync_period_in_ms,compaction_throughput_mb_per_sec,in_memory_compaction_limit_in_mb,memtable_flush_queue_size,reduce_cache_capacity_to,reduce_cache_sizes_at,commitlog_segment_size_in_mb,compaction_preheat_key_cache,multithreaded_compaction,commitlog_sync,Throughput
63,19758,30,61,8,0.5,0.59,32,FALSE,FALSE,periodic,8741.258741
88,10459,24,60,4,0.8,0.39,8,FALSE,FALSE,periodic,8733.624454
83,16738,20,118,8,0.7,0.6,16,FALSE,FALSE,periodic,8726.00349
104,15480,26,83,8,0.9,0.29,32,FALSE,FALSE,periodic,8703.220191
72,14249,30,107,7,0.4,0.63,8,TRUE,TRUE,periodic,8658.008658
97,15847,21,55,7,0,0.2,8,FALSE,TRUE,periodic,8658.008658
38,17851,29,56,7,0.5,0.23,8,FALSE,FALSE,periodic,8650.519031
61,17678,31,39,7,0.6,0.85,16,FALSE,FALSE,periodic,8620.689655
32,15973,32,109,6,0.7,0.05,16,FALSE,FALSE,periodic,8598.452279
42,15793,23,41,7,0.5,0.88,32,FALSE,FALSE,periodic,8591.065292
82,18332,20,83,4,0.2,0.89,32,FALSE,TRUE,periodic,8583.690987
92,14875,25,101,7,0.1,0.95,16,TRUE,TRUE,periodic,8576.329331
73,12638,24,109,7,0.8,0.18,16,FALSE,FALSE,periodic,8576.329331
65,13620,25,45,4,0.1,0.58,32,FALSE,TRUE,batch,8532.423208
76,14920,28,116,8,0.1,0.34,32,TRUE,TRUE,periodic,8460.236887
109,19524,22,52,7,0.6,0.74,8,TRUE,FALSE,batch,8453.085376
112,19654,30,89,6,0.9,0.61,16,TRUE,TRUE,periodic,8453.085376
101,10395,17,52,8,0.7,0.17,8,FALSE,TRUE,periodic,8431.703204
71,18395,17,89,4,0.9,0.53,16,TRUE,TRUE,batch,8417.508418
123,18510,25,51,5,0.7,0.99,8,FALSE,FALSE,batch,8417.508418
117,19817,17,114,4,0.8,0.41,8,FALSE,TRUE,periodic,8410.428932
45,10626,31,65,6,0.8,0.9,16,TRUE,TRUE,periodic,8410.428932
114,11199,32,93,8,0.4,0.53,32,TRUE,FALSE,periodic,8389.261745
96,18805,26,74,6,0.9,0.24,8,FALSE,FALSE,periodic,8389.261745
88,12805,19,128,7,0.8,0.22,16,TRUE,TRUE,periodic,8382.229673
125,11304,19,54,7,0.3,0.99,16,FALSE,FALSE,periodic,8354.218881
81,16480,26,44,6,1,0.28,32,TRUE,FALSE,periodic,8354.218881
62,14997,21,98,6,0.8,0.76,16,FALSE,FALSE,periodic,8319.467554
74,16585,19,60,8,0.3,0.31,32,TRUE,TRUE,periodic,8298.755187
127,16525,32,125,4,0.2,0.69,16,FALSE,TRUE,periodic,8291.873964
39,12236,30,56,7,0.5,0.54,32,TRUE,TRUE,periodic,8285.004143
121,14765,19,92,5,0.5,0.61,8,TRUE,FALSE,periodic,8271.298594
66,10639,25,125,4,0.9,0.59,32,TRUE,FALSE,batch,8257.638315
111,13403,24,60,7,1,1,8,TRUE,FALSE,periodic,8257.638315
110,11590,28,93,7,0.9,0.19,32,FALSE,FALSE,periodic,8237.23229
101,18792,25,64,7,0.7,0.26,8,FALSE,FALSE,periodic,8183.306056
51,18936,21,122,6,0.6,0.98,32,TRUE,FALSE,periodic,8176.614881
61,19777,24,125,7,0.1,0.82,32,FALSE,FALSE,periodic,8163.265306
99,15250,28,127,8,0.5,0.85,32,TRUE,TRUE,periodic,8156.606852
126,12593,22,60,8,0.1,0.33,16,FALSE,TRUE,periodic,8143.322476
41,19626,28,81,5,0.6,0.74,32,TRUE,TRUE,batch,8143.322476
126,14532,18,122,6,0.5,0.27,8,FALSE,TRUE,periodic,8130.081301
39,13445,25,42,6,0.3,0.47,32,FALSE,TRUE,periodic,8123.476848
48,11003,17,75,7,0.7,0.71,16,FALSE,TRUE,periodic,8110.300081
103,15717,24,83,8,0.2,0.95,32,FALSE,TRUE,periodic,8071.02502
35,18934,31,66,6,0.9,0.06,32,TRUE,FALSE,periodic,8032.128514
82,11974,29,53,7,0.1,0.62,32,TRUE,TRUE,batch,8012.820513
61,12087,23,88,8,0.9,0.65,16,FALSE,TRUE,periodic,8000
126,13804,24,94,6,0.7,0.28,32,FALSE,FALSE,periodic,7961.783439
68,12847,19,106,6,0.7,0.45,16,TRUE,FALSE,periodic,7949.125596
118,14782,16,56,8,0.5,0.08,8,TRUE,TRUE,periodic,7949.125596
77,17373,30,34,6,0.5,0.19,16,FALSE,TRUE,batch,7936.507937
104,13646,18,52,5,0.3,0.34,8,FALSE,FALSE,periodic,7917.656374
39,11280,17,74,4,0.7,0.68,16,TRUE,TRUE,batch,7905.13834
73,17250,23,95,5,0.8,0.64,8,FALSE,TRUE,batch,7898.894155
108,16251,23,108,4,0.3,0.1,8,FALSE,TRUE,periodic,7867.820614
46,19552,32,114,4,0.3,0.5,8,FALSE,TRUE,batch,7812.5
64,19285,25,118,5,0.3,0.25,8,TRUE,TRUE,batch,7770.00777
87,14073,18,65,7,0.3,0.22,32,FALSE,FALSE,periodic,7733.952049
56,18712,18,33,4,0.1,0.09,16,FALSE,TRUE,batch,7733.952049
121,12396,23,128,6,0.1,0.08,32,FALSE,TRUE,batch,7692.307692
123,14331,23,119,4,0.8,0.06,32,TRUE,FALSE,batch,7680.491551
42,17145,30,35,5,0.8,0.14,16,FALSE,TRUE,periodic,7674.597084
85,17727,32,40,6,0.1,0.08,8,FALSE,TRUE,periodic,7645.259939
120,17867,26,80,4,0.2,0.76,8,FALSE,FALSE,batch,7633.587786
54,19730,17,98,5,0.3,0.4,16,TRUE,FALSE,batch,7627.765065
69,15150,17,93,8,0.2,0.9,16,FALSE,FALSE,batch,7610.350076
93,19023,30,78,5,0.3,0.37,32,FALSE,TRUE,periodic,7570.02271
106,17131,19,95,4,0.7,0.59,16,TRUE,TRUE,batch,7570.02271
88,16346,18,77,4,0.3,0.18,8,FALSE,TRUE,periodic,7570.02271
79,10952,31,70,7,0.4,0.08,32,TRUE,TRUE,periodic,7564.29652
43,12891,28,119,6,0.2,0.13,16,TRUE,FALSE,batch,7507.507508
122,16179,30,62,7,0.6,0.8,16,FALSE,TRUE,batch,7485.02994
86,13792,21,74,5,0.5,0.8,32,FALSE,FALSE,periodic,7446.016381
125,17182,19,40,8,0.7,0.25,32,TRUE,FALSE,periodic,7412.898443
38,18162,24,79,5,0.7,0.34,16,TRUE,TRUE,batch,7412.898443
112,14909,32,88,6,0.1,0.3,32,FALSE,FALSE,batch,7380.073801
98,13914,29,65,7,0.6,0.68,8,TRUE,FALSE,batch,7352.941176
79,17589,32,45,7,0.9,0.71,8,FALSE,TRUE,batch,7336.757153
60,15157,17,113,6,0.1,0.6,8,FALSE,TRUE,periodic,7320.644217
85,15221,17,87,8,0.2,0.4,32,FALSE,FALSE,periodic,7283.321194
45,12209,30,68,8,0.8,0.63,32,TRUE,TRUE,batch,7251.631617
112,13573,20,73,4,0.2,0.46,32,FALSE,FALSE,batch,7241.129616
67,15770,21,60,4,0.2,0.39,32,TRUE,TRUE,batch,7230.65799
56,10533,18,84,8,0.3,0.78,16,TRUE,TRUE,batch,7220.216606
57,17339,24,118,4,0.8,0.87,8,TRUE,FALSE,periodic,7204.610951
96,12376,26,44,8,0.9,0.74,16,FALSE,TRUE,batch,7199.424046
109,13859,22,66,8,0.5,0.53,8,FALSE,TRUE,batch,7163.323782
70,11373,21,97,8,0.7,0.23,8,FALSE,FALSE,batch,7102.272727
88,13029,16,97,7,0.6,0.17,32,FALSE,FALSE,batch,7097.232079
82,15817,17,69,7,0.8,0.43,32,FALSE,FALSE,periodic,7087.172218
37,13259,24,70,8,0.5,0.73,32,TRUE,FALSE,batch,7077.140835
46,10501,16,68,8,0.3,0.04,8,FALSE,TRUE,batch,7067.137809
105,11368,19,120,8,0.8,0.15,16,TRUE,TRUE,batch,7022.47191
32,14350,18,92,8,0.4,0.82,8,TRUE,TRUE,batch,7022.47191
47,15650,19,114,4,0.5,0.84,8,FALSE,FALSE,batch,6983.240223
107,19669,19,126,7,0.7,0.97,8,TRUE,FALSE,batch,6973.500697
32,16799,20,125,5,0.1,0.97,32,FALSE,FALSE,periodic,6973.500697
83,13954,32,92,4,0.2,0.69,8,TRUE,FALSE,batch,6958.942241
101,16165,28,125,7,0.5,0.75,32,TRUE,FALSE,batch,6939.62526
123,13958,21,41,5,0.5,0.56,8,FALSE,TRUE,batch,6920.415225
70,14112,26,100,5,1,0.4,16,FALSE,TRUE,batch,6915.629322
34,15543,21,116,5,0.2,0.64,32,TRUE,FALSE,batch,6901.311249
40,17079,26,65,5,0.6,0.23,16,FALSE,FALSE,batch,6891.798759
124,15390,23,92,8,0.8,0.11,8,FALSE,FALSE,batch,6891.798759
89,15013,24,127,4,0.6,0.23,8,FALSE,FALSE,batch,6844.626968
79,14900,31,127,6,0.7,0.66,32,FALSE,FALSE,batch,6825.938567
104,11963,25,92,4,0.3,0.09,16,TRUE,FALSE,batch,6821.282401
67,17175,29,67,7,0.5,0.88,16,FALSE,TRUE,batch,6816.632584
69,18636,31,126,7,0,0.99,8,TRUE,TRUE,batch,6811.989101
42,17565,25,125,6,0.6,0.7,8,FALSE,TRUE,batch,6784.260516
88,19042,20,77,6,0.4,0.82,16,TRUE,FALSE,batch,6756.756757
83,13192,22,48,7,0.3,0.75,32,TRUE,FALSE,periodic,6752.194463
122,11220,31,40,5,1,0.63,32,TRUE,TRUE,batch,6747.638327
32,19300,28,87,6,0.9,0.41,32,FALSE,TRUE,batch,6743.088334
100,12878,22,92,6,0.2,0.47,32,FALSE,TRUE,batch,6734.006734
36,19334,18,64,8,0.1,0.51,8,FALSE,TRUE,batch,6734.006734
51,13836,27,34,8,0.9,0.44,32,TRUE,FALSE,batch,6715.916723
63,18122,31,74,8,0.4,0.26,8,TRUE,FALSE,batch,6706.908115
103,18864,29,101,7,0.3,0.02,16,FALSE,TRUE,periodic,6684.491979
56,18144,28,81,4,0.5,0.9,32,FALSE,FALSE,batch,6657.789614
41,13182,23,53,5,0.5,0.96,32,FALSE,TRUE,batch,6644.518272
87,15200,32,77,8,0.4,0.08,32,TRUE,FALSE,batch,6631.299735
73,10707,23,102,6,0.8,0.63,32,TRUE,FALSE,batch,6626.905235
95,13794,24,54,8,0.2,0.3,32,TRUE,FALSE,batch,6605.019815
109,14958,28,67,6,0.5,0.75,8,FALSE,FALSE,batch,6605.019815
84,16193,19,101,6,0.9,0.32,8,FALSE,FALSE,batch,6596.306069
83,18978,31,61,6,0.2,0.72,8,TRUE,FALSE,batch,6583.278473
81,13790,27,121,4,0.5,0.19,16,FALSE,FALSE,batch,6578.947368
45,18390,20,51,5,0.8,0.6,8,TRUE,TRUE,batch,6565.988181
94,17045,28,68,4,0.1,0.4,8,FALSE,FALSE,batch,6527.415144
59,12135,17,101,5,0.8,0.5,32,FALSE,FALSE,batch,6523.157208
97,17272,18,40,4,0.5,0.07,32,TRUE,FALSE,batch,6518.904824
112,17387,18,53,7,0.5,0.86,8,TRUE,FALSE,batch,6518.904824
108,13574,32,63,7,0.7,0.72,32,FALSE,TRUE,batch,6506.180872
42,18714,28,61,6,0.7,0.98,32,TRUE,FALSE,batch,6497.725796
71,17260,16,95,6,0.8,0.62,8,TRUE,FALSE,batch,6485.084306
104,11559,27,90,4,0,0.38,8,TRUE,FALSE,batch,6476.683938
79,16759,19,96,4,0.6,0.36,8,TRUE,FALSE,batch,6476.683938
69,17051,18,83,8,0.8,0.8,8,TRUE,FALSE,batch,6472.491909
118,17894,30,105,7,0.4,0.96,8,FALSE,TRUE,batch,6472.491909
78,19739,25,75,8,0.5,0.6,32,TRUE,TRUE,batch,6455.777921
101,12406,21,127,8,0.6,0.79,8,TRUE,TRUE,batch,6451.612903
96,14043,29,38,5,0.3,0.37,32,TRUE,TRUE,batch,6410.25641
103,17300,27,42,8,0.2,0.04,32,TRUE,FALSE,batch,6410.25641
124,13769,22,80,7,0.3,0.56,32,FALSE,TRUE,batch,6406.149904
125,19759,30,125,7,0.6,0.33,8,FALSE,TRUE,batch,6406.149904
114,16297,29,63,4,0.5,0.07,32,TRUE,TRUE,periodic,6402.048656
60,15479,24,51,4,0.6,0.02,8,TRUE,FALSE,batch,6377.55102
106,14461,27,48,8,0.4,0.05,8,TRUE,TRUE,batch,6361.323155
122,11239,31,123,7,0.4,0.02,8,TRUE,TRUE,batch,6293.266205
76,13721,16,74,8,1,0.77,8,TRUE,TRUE,batch,6293.266205
81,13468,26,50,5,0.5,0.03,8,TRUE,FALSE,batch,6289.308176
85,10925,26,46,5,0.6,0.19,8,FALSE,FALSE,batch,6281.407035
68,18909,17,123,7,0.1,0.49,16,FALSE,FALSE,batch,6265.66416
75,17102,23,41,6,0,0.91,32,TRUE,TRUE,batch,6238.303182
96,10335,26,49,4,0.1,0.77,8,FALSE,FALSE,batch,6226.650062
119,18417,22,37,4,0.3,0.71,16,FALSE,TRUE,batch,6211.180124
47,17709,22,125,5,0.4,0.21,32,TRUE,TRUE,periodic,6191.950464
61,11857,32,124,4,0.3,0.04,32,TRUE,TRUE,batch,6188.118812
75,12451,21,68,8,0.6,0.9,32,FALSE,FALSE,batch,6188.118812
34,16933,28,103,6,0.8,0.48,8,FALSE,TRUE,batch,6184.291899
42,18498,29,51,8,0.6,0,16,FALSE,FALSE,batch,6165.228113
85,10549,28,45,8,0.6,0.55,32,TRUE,TRUE,batch,6153.846154
119,13813,27,56,8,0.9,0.06,16,TRUE,TRUE,batch,6150.061501
106,10659,17,66,7,0.9,0.48,8,FALSE,TRUE,batch,6142.506143
86,12313,17,102,8,0.3,0.71,8,FALSE,TRUE,batch,6127.45098
54,12076,17,56,6,0.7,0.87,32,TRUE,FALSE,batch,6093.845216
95,11923,19,98,5,0.6,0.38,8,TRUE,FALSE,batch,6090.133983
74,10887,17,100,8,0.3,0.1,16,TRUE,TRUE,batch,6053.268765
68,17238,18,88,8,0.2,0.23,8,TRUE,FALSE,periodic,6045.949214
45,15606,30,41,7,0.2,0.97,32,FALSE,FALSE,batch,6027.727547
56,15908,16,49,6,1,0.33,8,FALSE,TRUE,batch,5991.611744
78,17624,32,46,6,0.7,0.84,16,FALSE,TRUE,batch,5980.861244
68,11232,18,99,5,0.4,0.57,8,TRUE,FALSE,batch,5920.663114
89,15736,29,45,7,0.9,0.58,8,FALSE,TRUE,batch,5878.894768
44,14247,30,84,5,0.5,0.56,16,TRUE,FALSE,batch,5875.440658
112,13299,29,108,7,0,0.13,16,FALSE,TRUE,periodic,5875.440658
44,19800,19,92,4,0.9,0.16,32,TRUE,TRUE,batch,5858.230814
117,12682,28,109,8,0.1,0.7,32,FALSE,TRUE,batch,5847.953216
114,12363,32,62,5,0,0.65,16,FALSE,TRUE,batch,5837.711617
34,15437,30,46,5,0.2,0.71,16,TRUE,TRUE,periodic,5810.575247
116,18327,30,73,6,0.2,0.03,16,FALSE,TRUE,batch,5773.672055
90,14533,24,116,8,0.5,0.72,16,FALSE,FALSE,batch,5757.052389
94,16291,31,81,8,0.7,0.78,8,FALSE,FALSE,batch,5675.368899
108,17347,22,120,6,0.8,0.14,16,TRUE,TRUE,batch,5599.104143
79,11177,31,35,6,0.1,0.89,32,FALSE,FALSE,batch,5543.237251
52,10228,20,75,8,0.5,0.55,32,TRUE,FALSE,batch,5449.591281
85,10272,21,124,8,0.9,0.46,32,TRUE,TRUE,batch,5344.735436
128,12232,26,109,6,0.1,0.91,8,FALSE,FALSE,batch,5313.496281
65,16679,30,108,8,0.3,0.52,8,TRUE,FALSE,batch,5305.039788
74,10847,32,95,8,0.4,0.17,32,FALSE,TRUE,batch,5274.261603
41,16761,17,87,5,0.8,0.48,8,TRUE,TRUE,batch,5208.333333
47,13237,19,72,8,0.9,0.79,32,TRUE,TRUE,batch,5189.413596
127,15590,30,71,4,0.1,0.57,32,TRUE,TRUE,periodic,5175.983437
63,18527,30,99,5,0.4,0.94,32,FALSE,TRUE,batch,5162.622612
33,17269,29,60,8,0.5,0.19,32,TRUE,FALSE,batch,5154.639175
127,12725,27,90,7,0.4,0.99,32,FALSE,TRUE,batch,5091.649695
51,14322,31,101,7,0.5,0.84,16,FALSE,TRUE,batch,5020.080321
83,14596,31,35,6,1,0.64,8,FALSE,TRUE,periodic,4810.00481
63,15105,31,32,4,0.4,0.83,8,FALSE,TRUE,batch,4741.583689
115,10615,25,63,8,0.7,0.77,32,TRUE,FALSE,periodic,4734.848485
98,16800,21,68,6,0.9,0.86,32,FALSE,TRUE,batch,4712.535344
58,16313,32,123,5,0.8,0.63,16,FALSE,FALSE,periodic,4618.937644
33,13051,23,39,6,0.4,0.47,32,TRUE,TRUE,batch,4498.425551
50,15424,31,83,7,0.5,0.41,32,FALSE,TRUE,batch,4474.272931
62,19250,24,60,6,0.7,0.25,16,TRUE,TRUE,batch,4454.342984
110,19445,22,43,8,0.6,0.83,32,TRUE,FALSE,periodic,4430.660168
42,12844,18,97,4,0.4,0.04,8,FALSE,TRUE,batch,4389.815628
72,19742,16,50,7,0.5,0.61,32,FALSE,FALSE,batch,4366.812227
119,18226,30,109,7,0.5,0.16,32,TRUE,TRUE,batch,4336.513443
128,17551,30,98,7,0.6,0.6,16,FALSE,TRUE,batch,4277.159966
91,18449,17,65,5,0.5,0.07,32,FALSE,TRUE,batch,4271.67877
37,17257,17,88,5,0.6,0.19,32,FALSE,FALSE,batch,4264.392324
52,17260,18,106,8,0.4,0.95,8,FALSE,FALSE,batch,4230.118443
36,13392,16,114,5,0,0.45,16,TRUE,TRUE,batch,4164.931279
64,11395,27,50,5,0.2,0.18,32,FALSE,TRUE,batch,4118.616145
43,10736,21,114,8,0.6,0.27,16,FALSE,FALSE,batch,4095.004095
106,18049,16,83,8,0.1,0.7,16,TRUE,FALSE,batch,3955.696203
34,17645,16,66,8,0.6,0.68,16,TRUE,FALSE,periodic,3921.568627
109,15254,31,32,4,0.1,0.78,8,FALSE,FALSE,batch,3862.495172
86,17318,21,105,5,0.2,0.88,16,TRUE,FALSE,batch,3648.303539
63,11816,27,91,8,0.2,0.67,32,FALSE,FALSE,batch,3408.316292
124,17524,31,62,6,0,0.43,16,TRUE,FALSE,batch,3142.677561
92,13724,18,76,4,0.5,0.73,16,TRUE,TRUE,batch,3083.564601
113,15167,26,55,7,0.4,0.55,8,TRUE,FALSE,batch,3051.571559
97,17955,27,112,6,0.9,0.95,32,FALSE,FALSE,batch,3049.710278
64,18436,32,67,6,0.4,0.34,16,TRUE,FALSE,batch,2863.688431
99,16928,23,81,4,0.5,0.64,16,TRUE,TRUE,batch,2759.381898
70,18994,21,50,7,0.3,0.29,8,TRUE,FALSE,periodic,2589.331952
