sort_buffer_size, join_buffer_size, innodb_autoextend_increment, innodb_buffer_pool_size, innodb_additional_mem_pool_size, innodb_log_buffer_size, table_open_cache, thread_cache_size, query_cache_limit, max_allowed_packet, max_connect_errors, tmp_table_size, max_heap_table_size,tpmc
474KB, 1732KB, 380MB, 6085MB, 20MB, 22MB,2004,119, 3MB, 8MB,599, 72MB, 46MB,2798
818KB, 1617KB, 289MB, 4127MB, 20MB, 17MB,859,11, 1MB, 9MB,1749, 122MB, 7MB,2798.5
3365KB, 755KB, 478MB, 402MB, 18MB, 19MB,748,77, 1MB, 15MB,1184, 75MB, 4MB,2799.5
851KB, 906KB, 391MB, 6859MB, 16MB, 22MB,548,56, 3MB, 13MB,684, 112MB, 104MB,2799.5
918KB, 1776KB, 255MB, 5498MB, 12MB, 12MB,1726,107, 3MB, 10MB,1402, 126MB, 63MB,2801
881KB, 1920KB, 372MB, 317MB, 12MB, 26MB,2032,90, 2MB, 6MB,777, 111MB, 16MB,2802.5
2995KB, 874KB, 357MB, 7616MB, 17MB, 18MB,1398,62, 2MB, 2MB,612, 63MB, 83MB,2802.5
1287KB, 1756KB, 459MB, 971MB, 14MB, 20MB,1899,69, 3MB, 12MB,1061, 30MB, 128MB,2803
586KB, 498KB, 443MB, 2751MB, 8MB, 19MB,876,57, 2MB, 14MB,1247, 31MB, 115MB,2803.5
3461KB, 162KB, 49MB, 6869MB, 1MB, 22MB,241,110, 1MB, 16MB,1684, 25MB, 62MB,2804
2200KB, 202KB, 218MB, 151MB, 14MB, 5MB,459,118, 3MB, 14MB,1457, 11MB, 73MB,2804
2275KB, 210KB, 421MB, 722MB, 9MB, 21MB,1640,93, 1MB, 10MB,1075, 18MB, 95MB,2804
2733KB, 2005KB, 426MB, 2779MB, 7MB, 19MB,1929,56, 1MB, 7MB,1779, 68MB, 101MB,2805.5
1883KB, 2022KB, 114MB, 6474MB, 6MB, 6MB,1288,16, 1MB, 9MB,874, 20MB, 3MB,2806
1703KB, 1860KB, 372MB, 2553MB, 14MB, 26MB,1513,67, 3MB, 5MB,860, 115MB, 51MB,2806
2112KB, 259KB, 88MB, 7099MB, 19MB, 29MB,754,79, 1MB, 10MB,1985, 36MB, 112MB,2808.5
333KB, 1116KB, 491MB, 5582MB, 9MB, 7MB,264,45, 3MB, 15MB,1730, 123MB, 32MB,2809
2942KB, 1315KB, 167MB, 3567MB, 15MB, 13MB,344,89, 3MB, 14MB,460, 116MB, 91MB,2809.5
403KB, 1108KB, 413MB, 51MB, 2MB, 17MB,1931,80, 3MB, 12MB,612, 126MB, 46MB,2810.5
2654KB, 1353KB, 321MB, 1111MB, 20MB, 26MB,128,92, 2MB, 16MB,756, 122MB, 25MB,2811.5
432KB, 631KB, 191MB, 1520MB, 5MB, 32MB,452,91, 2MB, 7MB,1343, 122MB, 45MB,2812.5
1506KB, 193KB, 299MB, 4566MB, 19MB, 19MB,1622,98, 3MB, 4MB,489, 54MB, 94MB,2813
556KB, 1683KB, 447MB, 3582MB, 9MB, 8MB,1048,46, 1MB, 9MB,1756, 12MB, 38MB,2814
3155KB, 1588KB, 367MB, 1679MB, 14MB, 19MB,693,82, 2MB, 16MB,166, 43MB, 16MB,2814
1060KB, 1565KB, 187MB, 6140MB, 17MB, 18MB,2020,95, 2MB, 15MB,1408, 80MB, 91MB,2814
3704KB, 1540KB, 113MB, 7153MB, 18MB, 5MB,624,10, 3MB, 9MB,638, 55MB, 13MB,2815
2978KB, 1463KB, 80MB, 4662MB, 16MB, 11MB,224,111, 1MB, 12MB,1268, 32MB, 27MB,2815
446KB, 1510KB, 402MB, 1901MB, 12MB, 29MB,1079,30, 3MB, 5MB,1461, 33MB, 9MB,2815.5
561KB, 302KB, 233MB, 3179MB, 16MB, 15MB,1842,24, 1MB, 8MB,1227, 75MB, 50MB,2816
182KB, 1323KB, 510MB, 5066MB, 8MB, 18MB,663,30, 1MB, 2MB,284, 52MB, 107MB,2816.5
438KB, 262KB, 123MB, 7352MB, 2MB, 30MB,1872,26, 1MB, 9MB,26, 115MB, 122MB,2816.5
3675KB, 1994KB, 167MB, 676MB, 5MB, 26MB,1305,40, 2MB, 12MB,135, 117MB, 37MB,2817
1503KB, 548KB, 72MB, 6047MB, 12MB, 17MB,155,74, 1MB, 6MB,615, 66MB, 84MB,2817
3325KB, 1375KB, 443MB, 5188MB, 17MB, 4MB,1499,61, 2MB, 5MB,1324, 103MB, 26MB,2817
1572KB, 1803KB, 65MB, 5548MB, 17MB, 17MB,1047,21, 3MB, 3MB,320, 96MB, 63MB,2817
935KB, 530KB, 34MB, 223MB, 18MB, 11MB,1584,28, 1MB, 5MB,1022, 118MB, 117MB,2818
1481KB, 710KB, 147MB, 5493MB, 14MB, 18MB,1900,53, 1MB, 13MB,839, 110MB, 10MB,2818.5
3462KB, 1584KB, 146MB, 7127MB, 7MB, 11MB,370,117, 2MB, 8MB,448, 122MB, 115MB,2819
1754KB, 687KB, 229MB, 7653MB, 12MB, 30MB,1934,119, 3MB, 8MB,527, 35MB, 37MB,2819
2315KB, 140KB, 453MB, 1156MB, 11MB, 30MB,1024,47, 3MB, 5MB,1449, 78MB, 70MB,2819.5
2205KB, 1555KB, 145MB, 3840MB, 16MB, 19MB,1414,27, 2MB, 15MB,1133, 27MB, 52MB,2820
1987KB, 207KB, 103MB, 5561MB, 15MB, 17MB,1956,87, 3MB, 11MB,646, 91MB, 89MB,2820.5
3200KB, 1139KB, 408MB, 4919MB, 5MB, 16MB,1387,103, 3MB, 3MB,1072, 68MB, 14MB,2820.5
3023KB, 770KB, 154MB, 3543MB, 9MB, 20MB,863,12, 1MB, 9MB,1494, 100MB, 40MB,2821.5
497KB, 262KB, 154MB, 145MB, 3MB, 28MB,1954,32, 2MB, 6MB,1006, 119MB, 75MB,2823.5
3769KB, 1177KB, 31MB, 5338MB, 20MB, 22MB,899,64, 2MB, 14MB,292, 113MB, 15MB,2823.5
1855KB, 761KB, 150MB, 2054MB, 4MB, 17MB,1416,76, 1MB, 10MB,1123, 97MB, 104MB,2824.5
791KB, 697KB, 202MB, 6656MB, 11MB, 15MB,1143,71, 3MB, 16MB,509, 77MB, 122MB,2825.5
3000KB, 201KB, 327MB, 5967MB, 2MB, 22MB,270,111, 3MB, 13MB,960, 16MB, 47MB,2826
381KB, 1255KB, 261MB, 187MB, 11MB, 25MB,1727,126, 1MB, 13MB,1596, 37MB, 2MB,2827
804KB, 1147KB, 199MB, 6957MB, 6MB, 22MB,1513,62, 2MB, 14MB,1170, 98MB, 28MB,2827.5
138KB, 1802KB, 209MB, 4007MB, 12MB, 5MB,632,112, 3MB, 11MB,604, 61MB, 8MB,2827.5
372KB, 1553KB, 493MB, 6822MB, 4MB, 22MB,982,78, 1MB, 13MB,1980, 40MB, 72MB,2828
2851KB, 1590KB, 187MB, 2353MB, 10MB, 24MB,1370,20, 3MB, 3MB,81, 37MB, 31MB,2828.5
468KB, 1563KB, 196MB, 3536MB, 12MB, 12MB,227,94, 1MB, 6MB,951, 86MB, 111MB,2829
856KB, 654KB, 439MB, 3879MB, 6MB, 30MB,683,30, 3MB, 16MB,1708, 17MB, 112MB,2829.5
2241KB, 2033KB, 91MB, 4222MB, 4MB, 13MB,1696,111, 3MB, 8MB,1014, 75MB, 110MB,2831
4000KB, 603KB, 466MB, 9MB, 14MB, 8MB,957,91, 1MB, 15MB,1268, 80MB, 48MB,2831.5
429KB, 1548KB, 132MB, 7264MB, 19MB, 6MB,1619,25, 3MB, 7MB,1814, 34MB, 23MB,2832
2078KB, 313KB, 459MB, 427MB, 20MB, 8MB,1724,81, 1MB, 3MB,912, 32MB, 51MB,2833
1840KB, 1974KB, 133MB, 5933MB, 5MB, 14MB,1129,92, 1MB, 4MB,435, 21MB, 109MB,2833.5
2712KB, 877KB, 399MB, 2725MB, 19MB, 30MB,837,98, 3MB, 12MB,186, 90MB, 125MB,2833.5
4040KB, 1083KB, 488MB, 5495MB, 14MB, 13MB,876,37, 1MB, 13MB,126, 126MB, 22MB,2833.5
1513KB, 1472KB, 194MB, 4806MB, 1MB, 20MB,1211,65, 2MB, 5MB,968, 49MB, 112MB,2834.5
1268KB, 396KB, 413MB, 6426MB, 14MB, 26MB,844,114, 2MB, 2MB,27, 41MB, 21MB,2834.5
2943KB, 401KB, 450MB, 40MB, 4MB, 8MB,1796,65, 3MB, 3MB,1058, 91MB, 8MB,2835
1218KB, 730KB, 138MB, 3747MB, 2MB, 26MB,1380,97, 2MB, 13MB,291, 64MB, 93MB,2835
2369KB, 1279KB, 31MB, 7150MB, 15MB, 11MB,368,74, 3MB, 4MB,1800, 66MB, 3MB,2835.5
2653KB, 1704KB, 339MB, 7781MB, 20MB, 31MB,889,119, 3MB, 14MB,1484, 71MB, 46MB,2836
3097KB, 206KB, 223MB, 6657MB, 3MB, 20MB,829,116, 3MB, 4MB,1737, 50MB, 114MB,2836.5
4002KB, 1694KB, 300MB, 4992MB, 4MB, 15MB,1901,116, 3MB, 4MB,912, 117MB, 111MB,2837
233KB, 1329KB, 168MB, 8119MB, 15MB, 17MB,398,34, 2MB, 7MB,1632, 9MB, 107MB,2837
1860KB, 430KB, 22MB, 3531MB, 1MB, 6MB,1065,57, 2MB, 2MB,1586, 53MB, 105MB,2838
2521KB, 1766KB, 362MB, 1053MB, 20MB, 8MB,324,74, 1MB, 13MB,1159, 100MB, 81MB,2838
1850KB, 1738KB, 419MB, 5931MB, 5MB, 8MB,1967,83, 3MB, 8MB,901, 90MB, 47MB,2838
903KB, 199KB, 10MB, 8187MB, 3MB, 21MB,1107,91, 3MB, 12MB,984, 77MB, 9MB,2838.5
2992KB, 1277KB, 314MB, 6647MB, 14MB, 30MB,353,16, 2MB, 2MB,956, 35MB, 87MB,2839
163KB, 1666KB, 119MB, 6604MB, 7MB, 32MB,1955,104, 3MB, 14MB,735, 37MB, 15MB,2839
3525KB, 1759KB, 36MB, 2830MB, 19MB, 31MB,917,105, 3MB, 3MB,1752, 45MB, 35MB,2840
3051KB, 915KB, 356MB, 7388MB, 1MB, 11MB,212,107, 2MB, 2MB,1348, 118MB, 94MB,2840.5
3310KB, 726KB, 280MB, 2730MB, 1MB, 23MB,2001,106, 1MB, 12MB,1449, 79MB, 62MB,2840.5
2631KB, 1622KB, 161MB, 5585MB, 1MB, 30MB,549,108, 1MB, 14MB,907, 44MB, 23MB,2841
3188KB, 1797KB, 191MB, 938MB, 6MB, 18MB,1573,99, 1MB, 14MB,1238, 42MB, 66MB,2841
2414KB, 1889KB, 8MB, 2679MB, 9MB, 21MB,1400,94, 1MB, 13MB,256, 45MB, 31MB,2841.5
2304KB, 429KB, 297MB, 5921MB, 9MB, 17MB,1594,39, 3MB, 6MB,1102, 106MB, 2MB,2841.5
2970KB, 289KB, 498MB, 5500MB, 1MB, 25MB,1753,26, 3MB, 12MB,1155, 40MB, 104MB,2841.5
2644KB, 1931KB, 439MB, 4559MB, 1MB, 25MB,1638,79, 3MB, 7MB,267, 8MB, 5MB,2842
2963KB, 710KB, 107MB, 5051MB, 4MB, 20MB,726,31, 1MB, 7MB,1842, 53MB, 80MB,2842.5
282KB, 1378KB, 341MB, 3727MB, 7MB, 15MB,356,57, 2MB, 14MB,552, 51MB, 95MB,2842.5
506KB, 1624KB, 324MB, 3514MB, 12MB, 7MB,1606,101, 2MB, 15MB,1248, 108MB, 33MB,2842.5
1051KB, 1557KB, 220MB, 6624MB, 15MB, 28MB,351,44, 3MB, 10MB,1529, 26MB, 108MB,2842.5
3416KB, 435KB, 511MB, 2819MB, 16MB, 7MB,1307,118, 1MB, 10MB,570, 58MB, 36MB,2843
2990KB, 419KB, 35MB, 2475MB, 13MB, 28MB,455,85, 3MB, 12MB,1186, 111MB, 81MB,2843.5
895KB, 767KB, 504MB, 6977MB, 12MB, 16MB,909,96, 3MB, 3MB,1408, 68MB, 89MB,2843.5
2949KB, 1987KB, 332MB, 7791MB, 17MB, 28MB,1888,24, 1MB, 8MB,1054, 16MB, 115MB,2844
2057KB, 1135KB, 349MB, 5318MB, 11MB, 17MB,735,23, 1MB, 3MB,276, 64MB, 35MB,2844
1617KB, 1898KB, 8MB, 5583MB, 18MB, 28MB,1874,113, 2MB, 2MB,926, 103MB, 97MB,2846
2663KB, 227KB, 287MB, 1426MB, 4MB, 20MB,1769,110, 3MB, 7MB,749, 103MB, 60MB,2846.5
3920KB, 797KB, 201MB, 7348MB, 11MB, 32MB,805,13, 2MB, 11MB,1004, 121MB, 3MB,2846.5
1089KB, 886KB, 319MB, 1472MB, 12MB, 16MB,1253,53, 1MB, 7MB,383, 80MB, 120MB,2846.5
3025KB, 1156KB, 466MB, 4013MB, 6MB, 4MB,314,77, 1MB, 14MB,928, 126MB, 84MB,2847
2624KB, 1510KB, 455MB, 7066MB, 5MB, 26MB,1894,94, 2MB, 2MB,1989, 54MB, 7MB,2847
3092KB, 1684KB, 362MB, 5646MB, 2MB, 29MB,1708,112, 3MB, 6MB,1077, 46MB, 112MB,2847.5
3455KB, 1380KB, 188MB, 2954MB, 13MB, 4MB,2034,48, 3MB, 9MB,1217, 10MB, 25MB,2848
900KB, 934KB, 403MB, 4457MB, 12MB, 28MB,711,32, 3MB, 16MB,1201, 54MB, 31MB,2848
1021KB, 1069KB, 470MB, 2333MB, 1MB, 16MB,1826,95, 2MB, 6MB,1256, 82MB, 116MB,2848
295KB, 1056KB, 78MB, 2822MB, 18MB, 23MB,1367,68, 2MB, 16MB,1993, 122MB, 85MB,2848
3246KB, 895KB, 232MB, 2301MB, 9MB, 32MB,1957,12, 1MB, 16MB,1148, 64MB, 9MB,2849
1944KB, 1869KB, 52MB, 470MB, 6MB, 14MB,1236,89, 1MB, 7MB,1266, 93MB, 88MB,2849.5
384KB, 991KB, 247MB, 2589MB, 17MB, 5MB,1473,35, 1MB, 15MB,1123, 21MB, 61MB,2850
3457KB, 1038KB, 112MB, 5808MB, 14MB, 8MB,1711,111, 1MB, 16MB,191, 127MB, 30MB,2850.5
2180KB, 1487KB, 506MB, 3168MB, 12MB, 9MB,637,30, 3MB, 12MB,1937, 123MB, 20MB,2851
2988KB, 1047KB, 503MB, 2609MB, 17MB, 11MB,798,111, 1MB, 10MB,1184, 41MB, 103MB,2851
2119KB, 511KB, 147MB, 873MB, 1MB, 19MB,840,114, 3MB, 2MB,1184, 103MB, 65MB,2851
3815KB, 1901KB, 411MB, 4836MB, 12MB, 21MB,160,93, 2MB, 4MB,1075, 114MB, 23MB,2851.5
921KB, 1133KB, 326MB, 7569MB, 11MB, 26MB,355,103, 2MB, 2MB,1103, 79MB, 102MB,2852
3514KB, 270KB, 263MB, 2310MB, 9MB, 30MB,804,22, 3MB, 4MB,1063, 81MB, 80MB,2852.5
1830KB, 759KB, 228MB, 3235MB, 1MB, 20MB,840,62, 1MB, 2MB,1234, 20MB, 111MB,2853.5
3808KB, 312KB, 327MB, 7828MB, 7MB, 23MB,548,107, 1MB, 15MB,407, 13MB, 60MB,2853.5
3675KB, 1503KB, 289MB, 1673MB, 9MB, 32MB,1079,36, 1MB, 12MB,1692, 35MB, 9MB,2853.5
288KB, 478KB, 371MB, 3150MB, 14MB, 6MB,240,9, 1MB, 15MB,1485, 113MB, 52MB,2854
1597KB, 774KB, 469MB, 1990MB, 19MB, 23MB,1612,79, 3MB, 12MB,1496, 104MB, 119MB,2856
4063KB, 964KB, 22MB, 5630MB, 4MB, 28MB,1666,67, 3MB, 11MB,1908, 59MB, 126MB,2856.5
4079KB, 906KB, 145MB, 6713MB, 11MB, 20MB,131,96, 1MB, 4MB,1814, 119MB, 113MB,2856.5
3555KB, 953KB, 271MB, 6239MB, 8MB, 7MB,1696,58, 1MB, 16MB,1420, 68MB, 34MB,2857.5
2804KB, 1419KB, 185MB, 4348MB, 3MB, 27MB,1169,21, 1MB, 3MB,842, 46MB, 76MB,2858
365KB, 1530KB, 51MB, 1148MB, 10MB, 23MB,1072,88, 1MB, 13MB,470, 47MB, 30MB,2858
2909KB, 217KB, 88MB, 4920MB, 9MB, 30MB,968,36, 1MB, 8MB,25, 89MB, 79MB,2858.5
2954KB, 1608KB, 278MB, 899MB, 1MB, 26MB,192,21, 2MB, 12MB,1456, 73MB, 88MB,2858.5
964KB, 1735KB, 471MB, 671MB, 17MB, 23MB,1030,106, 3MB, 5MB,1396, 27MB, 52MB,2859
2057KB, 1366KB, 22MB, 2429MB, 8MB, 23MB,1569,94, 3MB, 14MB,918, 81MB, 16MB,2859.5
2129KB, 936KB, 505MB, 894MB, 13MB, 24MB,839,53, 1MB, 10MB,1347, 33MB, 120MB,2860
1517KB, 1646KB, 192MB, 4863MB, 19MB, 24MB,1550,112, 2MB, 2MB,690, 95MB, 123MB,2861
129KB, 834KB, 181MB, 3084MB, 3MB, 13MB,1132,92, 1MB, 4MB,40, 93MB, 33MB,2861.5
397KB, 1691KB, 99MB, 5069MB, 15MB, 17MB,653,118, 2MB, 8MB,960, 39MB, 51MB,2862
1478KB, 1021KB, 465MB, 6368MB, 10MB, 32MB,212,102, 2MB, 4MB,1304, 80MB, 9MB,2862.5
2487KB, 245KB, 60MB, 4884MB, 12MB, 30MB,130,94, 1MB, 3MB,1949, 30MB, 22MB,2863
1004KB, 2012KB, 469MB, 6004MB, 9MB, 26MB,1933,73, 1MB, 4MB,544, 85MB, 94MB,2863.5
341KB, 1052KB, 54MB, 4263MB, 3MB, 30MB,1149,44, 3MB, 13MB,594, 84MB, 106MB,2863.5
2261KB, 1456KB, 46MB, 4161MB, 11MB, 31MB,1320,50, 3MB, 4MB,539, 90MB, 55MB,2864
2012KB, 1746KB, 26MB, 4759MB, 14MB, 27MB,1036,64, 3MB, 6MB,284, 99MB, 58MB,2864
2878KB, 1133KB, 181MB, 3016MB, 6MB, 18MB,891,110, 1MB, 5MB,662, 110MB, 61MB,2864.5
451KB, 824KB, 425MB, 1603MB, 7MB, 23MB,1148,65, 2MB, 3MB,227, 78MB, 27MB,2865
756KB, 1018KB, 63MB, 4840MB, 16MB, 13MB,1493,115, 2MB, 15MB,590, 27MB, 122MB,2865.5
164KB, 216KB, 75MB, 5717MB, 4MB, 20MB,1449,27, 1MB, 11MB,130, 101MB, 124MB,2866
160KB, 1220KB, 204MB, 2410MB, 18MB, 27MB,539,69, 1MB, 16MB,387, 86MB, 2MB,2866.5
2485KB, 1888KB, 96MB, 5840MB, 16MB, 16MB,1985,75, 3MB, 6MB,415, 117MB, 125MB,2867
3266KB, 594KB, 46MB, 6175MB, 10MB, 18MB,136,35, 3MB, 8MB,1507, 78MB, 3MB,2868
3090KB, 274KB, 470MB, 4336MB, 15MB, 16MB,812,69, 2MB, 6MB,317, 37MB, 42MB,2868
2844KB, 414KB, 362MB, 1937MB, 16MB, 32MB,343,32, 2MB, 5MB,1673, 30MB, 102MB,2868
2742KB, 1475KB, 432MB, 2979MB, 3MB, 22MB,1126,38, 2MB, 9MB,69, 21MB, 97MB,2868.5
1224KB, 954KB, 109MB, 2972MB, 7MB, 9MB,1597,89, 1MB, 9MB,1828, 115MB, 9MB,2869
2870KB, 1105KB, 256MB, 5459MB, 16MB, 25MB,1955,23, 1MB, 13MB,1783, 79MB, 19MB,2869
1756KB, 211KB, 432MB, 6296MB, 12MB, 19MB,773,107, 3MB, 11MB,639, 23MB, 33MB,2869.5
191KB, 197KB, 71MB, 5170MB, 5MB, 13MB,1753,28, 1MB, 12MB,226, 126MB, 115MB,2869.5
1637KB, 1534KB, 272MB, 7387MB, 19MB, 13MB,1022,40, 2MB, 7MB,800, 86MB, 62MB,2870
953KB, 991KB, 147MB, 7618MB, 12MB, 29MB,1756,83, 1MB, 5MB,1077, 85MB, 59MB,2870
3509KB, 1428KB, 398MB, 2758MB, 17MB, 4MB,1087,67, 2MB, 4MB,744, 107MB, 72MB,2870
2138KB, 430KB, 256MB, 1134MB, 11MB, 29MB,1149,125, 2MB, 2MB,1493, 74MB, 8MB,2870
1108KB, 490KB, 400MB, 4416MB, 14MB, 24MB,1141,18, 1MB, 8MB,1273, 123MB, 72MB,2870
1877KB, 1946KB, 37MB, 3514MB, 5MB, 20MB,1758,77, 3MB, 9MB,1593, 27MB, 109MB,2870.5
2757KB, 1135KB, 302MB, 5360MB, 6MB, 12MB,142,48, 3MB, 4MB,1394, 29MB, 8MB,2871
2636KB, 1916KB, 233MB, 3072MB, 20MB, 22MB,446,104, 2MB, 3MB,433, 37MB, 105MB,2871.5
218KB, 1766KB, 492MB, 7077MB, 11MB, 13MB,219,46, 1MB, 14MB,1602, 60MB, 60MB,2872.5
3572KB, 533KB, 69MB, 981MB, 19MB, 32MB,370,86, 2MB, 10MB,1865, 77MB, 123MB,2872.5
2760KB, 1927KB, 181MB, 6279MB, 3MB, 31MB,1859,121, 1MB, 7MB,265, 45MB, 53MB,2872.5
2563KB, 1041KB, 65MB, 196MB, 20MB, 13MB,1434,14, 2MB, 5MB,1191, 73MB, 81MB,2874.5
300KB, 596KB, 93MB, 3505MB, 1MB, 14MB,966,64, 1MB, 8MB,1099, 109MB, 11MB,2874.5
3354KB, 571KB, 179MB, 3969MB, 5MB, 9MB,1467,48, 3MB, 9MB,178, 14MB, 55MB,2875
353KB, 177KB, 17MB, 7053MB, 20MB, 26MB,1509,71, 3MB, 11MB,561, 39MB, 88MB,2876
1125KB, 1412KB, 456MB, 183MB, 3MB, 15MB,1961,54, 1MB, 13MB,273, 52MB, 24MB,2876
2455KB, 747KB, 457MB, 3659MB, 1MB, 5MB,1483,51, 3MB, 16MB,1205, 22MB, 126MB,2876
173KB, 1513KB, 430MB, 624MB, 10MB, 31MB,1807,98, 1MB, 10MB,1974, 25MB, 76MB,2876.5
3006KB, 950KB, 501MB, 6238MB, 1MB, 20MB,679,35, 2MB, 11MB,1403, 107MB, 89MB,2876.5
